J,6,control,2,40,63,0.7595843820655602,777
J,7,control,2,40,63,0.8345512233950112,777
J,2,control,2,40,63,0.9137363657360937,777
J,1,treatment,2,40,63,0.8922232153849311,777
J,3,treatment,3,43,63,0.7495972065900369,777
J,9,treatment,3,43,63,0.9079112444350781,777
J,8,treatment,3,43,63,0.8862823281185972,777
J,5,control,3,43,63,0.8378770705906109,777
J,4,control,3,43,63,0.8037399748469167,777
J,6,control,3,43,63,0.8172273088339813,777
J,7,control,3,43,63,0.8778594475641972,777
J,2,control,3,43,63,0.9236674544277693,777
J,1,treatment,3,43,63,0.8871471690831909,777
J,3,treatment,4,41,66,0.7698510851555628,777
J,9,treatment,4,41,66,0.9131388857493461,777
J,8,treatment,4,41,66,0.899092581531673,777
J,5,control,4,41,66,0.8442150398531069,777
J,4,control,4,41,66,0.8199874205045775,777
J,6,control,4,41,66,0.8075464356356841,777
J,7,control,4,41,66,0.8929721566824946,777
J,2,control,4,41,66,0.9130329499264896,777
J,1,treatment,4,41,66,0.9024116245804198,777
J,3,treatment,5,41,64,0.7917040151833417,777
J,9,treatment,5,41,64,0.9516528735843337,777
J,8,treatment,5,41,64,0.9301310998241062,777
J,5,control,5,41,64,0.9263683208121851,777
J,4,control,5,41,64,0.8918788090595838,777
J,6,control,5,41,64,0.9100337236673176,777
J,7,control,5,41,64,0.9662165265662173,777
J,2,control,5,41,64,0.9746324126260298,777
J,1,treatment,5,41,64,0.957774307735608,777
J,3,treatment,6,40,61,0.7851968816648771,777
J,9,treatment,6,40,61,0.9298663810328218,777
J,8,treatment,6,40,61,0.9063387587802099,777
J,5,control,6,40,61,0.9019779358712771,777
J,4,control,6,40,61,0.8765094366397048,777
J,6,control,6,40,61,0.857901722730669,777
J,7,control,6,40,61,0.944455742281532,777
J,2,control,6,40,61,0.9505451082608076,777
J,1,treatment,6,40,61,0.9421135534262421,777
J,3,treatment,7,41,63,0.8127439482697804,777
J,9,treatment,7,41,63,0.9387467475906106,777
J,8,treatment,7,41,63,0.9080023629024319,777
J,5,control,7,41,63,0.9151612833284942,777
J,4,control,7,41,63,0.8669609631880852,777
J,6,control,7,41,63,0.8702260936978878,777
J,7,control,7,41,63,0.9201352867549221,777
J,2,control,7,41,63,0.946441438321626,777
J,1,treatment,7,41,63,0.9200790686952512,777
J,3,treatment,8,39,61,0.8506579912145633,777
J,9,treatment,8,39,61,0.9736173300161924,777
J,8,treatment,8,39,61,0.9278153768385033,777
J,5,control,8,39,61,0.9694482820903524,777
J,4,control,8,39,61,0.9262965538526451,777
J,6,control,8,39,61,0.9567342136460018,777
J,7,control,8,39,61,0.9989395700509586,777
J,2,control,8,39,61,0.9771594236444651,777
J,1,treatment,8,39,61,0.9673792382531241,777
J,3,treatment,9,40,61,0.8681112283238707,777
J,9,treatment,9,40,61,0.9477275604134224,777
J,8,treatment,9,40,61,0.9317585585120548,777
J,5,control,9,40,61,0.9662295011007294,777
J,4,control,9,40,61,0.9523999791156789,777
J,6,control,9,40,61,0.9261840260450085,777
J,7,control,9,40,61,0.9698841017755966,777
J,2,control,9,40,61,0.9745189160802701,777
J,1,treatment,9,40,61,0.9668124841899014,777
J,3,treatment,10,39,66,0.867163410205522,117.0
J,9,treatment,10,39,66,0.9606121801243752,138.0
J,8,treatment,10,39,66,0.9222432530450744,148.0
J,5,control,10,39,66,0.9928738635040933,126.0
J,4,control,10,39,66,0.9713026841970626,142.0
J,6,control,10,39,66,0.9591959807868898,143.0
J,7,control,10,39,66,0.9834847707927392,116.0
J,2,control,10,39,66,0.9722562377826586,133.0
J,1,treatment,10,39,66,0.9537583402224655,123.0
