"","y","block","banana_number","treatment","day","humidity","temperature","black_ratio","weight"
"74",0.0621705793377679,"N",8,"control",10,42,72,0.950008817919882,141
"75",0.0921569965068044,"N",4,"treatment",10,42,72,0.934759036144578,131
"76",0.088375774689106,"N",2,"treatment",10,42,72,0.934020718259367,128
"77",0.0812012147478159,"N",7,"treatment",10,42,72,0.906090151012347,134
"78",0.0624746790458783,"N",5,"control",10,42,72,0.962861836463909,133
"79",0.0575477264477789,"N",1,"control",10,42,72,0.953292355597173,136
"80",0.103730794346123,"N",3,"treatment",10,42,72,0.935655121098987,139
"81",-0.0301604770959309,"B",3,"treatment",1,43,73,0.629978442958974,165
"82",-0.0323908402095406,"B",7,"treatment",1,43,73,0.737438045241245,157
"83",-0.00653067457692946,"B",2,"treatment",1,43,73,0.779980148888259,171
"84",-0.0220506204989712,"B",4,"treatment",1,43,73,0.764040454144621,164
"85",-0.0265395601720627,"B",3,"treatment",2,45,77,0.633599359882842,777
"86",-0.0309981293829261,"B",7,"treatment",2,45,77,0.738830756067859,777
"87",-0.022302236866969,"B",2,"treatment",2,45,77,0.76420858659822,777
"88",-0.00539591174046783,"B",4,"treatment",2,45,77,0.780695162903124,777
"89",-0.0258759700832494,"B",3,"treatment",3,50,79,0.634262949971655,777
"90",-0.0211366278764593,"B",7,"treatment",3,50,79,0.748692257574326,777
"91",-0.0068103485607206,"B",2,"treatment",3,50,79,0.779700474904468,777
"92",-0.00273359584960531,"B",4,"treatment",3,50,79,0.783357478793987,777
"93",-0.00151507844650212,"B",7,"treatment",4,46,73,0.768313807004283,777
"94",-0.0354933104607584,"B",3,"treatment",4,46,73,0.624645609594146,777
"95",-0.00274762055671041,"B",4,"treatment",4,46,73,0.783343454086882,777
"96",-0.00626641956937091,"B",2,"treatment",4,46,73,0.780244403895818,777
"97",-0.00140698158121277,"B",7,"treatment",5,48,73,0.768421903869573,777
"98",0.0197324594382505,"B",3,"treatment",5,48,73,0.679871379493155,777
"99",0.00629060603793985,"B",4,"treatment",5,48,73,0.792381680681532,777
"100",0.0125959093127992,"B",2,"treatment",5,48,73,0.799106732777988,777
"101",0.00168599943835557,"B",7,"treatment",6,50,77,0.771514884889141,777
"102",0.00937591037572438,"B",3,"treatment",6,50,77,0.669514830430629,777
"103",0.0183429144227135,"B",4,"treatment",6,50,77,0.804433989066306,777
"104",-0.00064021557697147,"B",2,"treatment",6,50,77,0.785870607888217,777
"105",0.00582968526916938,"B",7,"treatment",7,46,75,0.775658570719955,777
"106",0.02802959098377,"B",3,"treatment",7,46,75,0.688168511038675,777
"107",-0.00576178436266483,"B",4,"treatment",7,46,75,0.780329290280927,777
"108",0.0192474752246578,"B",2,"treatment",7,46,75,0.805758298689846,777
"109",0.0208551495443857,"B",2,"treatment",8,45,75,0.807365973009574,777
"110",0.0270058365745989,"B",4,"treatment",8,45,75,0.813096911218191,777
"111",0.0371416318263417,"B",3,"treatment",8,45,75,0.697280551881246,777
"112",0.00968557754892074,"B",7,"treatment",8,45,75,0.779514462999706,777
"113",-0.0133324114753927,"B",2,"treatment",9,48,70,0.773178411989796,777
"114",-0.0152661889408542,"B",4,"treatment",9,48,70,0.770824885702738,777
"115",0.016811055537184,"B",3,"treatment",9,48,70,0.676949975592089,777
"116",0.0185207329459561,"B",7,"treatment",9,48,70,0.788349618396741,777
"117",0.00318377254451163,"B",2,"treatment",10,46,73,0.7896945960097,148
"118",0.0023163649140211,"B",4,"treatment",10,46,73,0.788407439557613,137
"119",0.00697866965073068,"B",3,"treatment",10,46,73,0.667117589705635,142
"120",0.0517256622942386,"B",7,"treatment",10,46,73,0.821554547745024,128
"121",-0.0650039843290712,"B",1,"control",1,43,73,0.508684656347107,152
"122",-0.0650039843290712,"B",5,"control",1,43,73,0.508684656347107,140
"123",-0.0650039843290712,"B",6,"control",1,43,73,0.508684656347107,145
"124",-0.0650039843290712,"B",8,"control",1,43,73,0.508684656347107,150
"125",-0.0811424854471109,"B",1,"control",2,45,77,0.492546155229067,777
"126",-0.0811424854471109,"B",5,"control",2,45,77,0.492546155229067,777
"127",-0.0811424854471109,"B",6,"control",2,45,77,0.492546155229067,777
"128",-0.0811424854471109,"B",8,"control",2,45,77,0.492546155229067,777
"129",-0.0222880071202863,"B",1,"control",3,50,79,0.551400633555892,777
"130",-0.0222880071202863,"B",5,"control",3,50,79,0.551400633555892,777
"131",-0.0222880071202863,"B",6,"control",3,50,79,0.551400633555892,777
"132",-0.0222880071202863,"B",8,"control",3,50,79,0.551400633555892,777
"133",-0.032776929734085,"B",1,"control",4,46,73,0.540911710942093,777
"134",-0.032776929734085,"B",5,"control",4,46,73,0.540911710942093,777
"135",-0.032776929734085,"B",6,"control",4,46,73,0.540911710942093,777
"136",-0.032776929734085,"B",8,"control",4,46,73,0.540911710942093,777
"137",-0.000371982801608328,"B",1,"control",5,48,73,0.57331665787457,777
"138",-0.000371982801608328,"B",5,"control",5,48,73,0.57331665787457,777
"139",-0.000371982801608328,"B",6,"control",5,48,73,0.57331665787457,777
"140",-0.000371982801608328,"B",8,"control",5,48,73,0.57331665787457,777
"141",0.00308268803277489,"B",1,"control",6,50,77,0.576771328708953,777
"142",0.00308268803277489,"B",5,"control",6,50,77,0.576771328708953,777
"143",0.00308268803277489,"B",6,"control",6,50,77,0.576771328708953,777
"144",0.00308268803277489,"B",8,"control",6,50,77,0.576771328708953,777
"145",0.0183479665979046,"B",1,"control",7,46,75,0.592036607274082,777
"146",0.0183479665979046,"B",5,"control",7,46,75,0.592036607274082,777
"147",0.0183479665979046,"B",6,"control",7,46,75,0.592036607274082,777
"148",0.0183479665979046,"B",8,"control",7,46,75,0.592036607274082,777
"149",0.0391138009023054,"B",1,"control",8,45,75,0.612802441578483,777
"150",0.0391138009023054,"B",5,"control",8,45,75,0.612802441578483,777
"151",0.0391138009023054,"B",6,"control",8,45,75,0.612802441578483,777
"152",0.0391138009023054,"B",8,"control",8,45,75,0.612802441578483,777
"153",0.0610014477434493,"B",1,"control",9,48,70,0.634690088419627,777
"154",0.0610014477434493,"B",5,"control",9,48,70,0.634690088419627,777
"155",0.0610014477434493,"B",6,"control",9,48,70,0.634690088419627,777
"156",0.0610014477434493,"B",8,"control",9,48,70,0.634690088419627,777
"157",0.0800374861557277,"B",1,"control",10,46,73,0.653726126831906,130
"158",0.0800374861557277,"B",5,"control",10,46,73,0.653726126831906,116
"159",0.0800374861557277,"B",6,"control",10,46,73,0.653726126831906,122
"160",0.0800374861557277,"B",8,"control",10,46,73,0.653726126831906,124
